asm_path;asm_name;n_macro;n_update;n_forall;n_branch;n_rule;approach;status;exec_time_ms;n_scenarios;n_step;n_set;n_check;macro_coverage;update_rule_coverage;forall_rule_coverage;branch_coverage;rule_coverage;n_failing_scenarios;n_val_error_scenarios;casemutator_score;chooserulemutator_score;condnegator_score;condremover_score;forallmutator_score;partoseqmutator_score;seqtoparmutator_score;ruleremover_score
../../../asm_examples/examples/traffic_light/oneWayTrafficLightUsingEnumFlat.asm;oneWayTrafficLightUsingEnumFlat;5;12;0;8;29;atgt;OK;263.0;12;46;46;150;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;1.0;0.5;NaN;0.0;NaN;1.0
../../../asm_examples/stereoacuity/certifierRaff5.asm;certifierRaff5;14;20;0;11;53;atgt;OK;194.0;2;7;7;26;1.0;0.85;NaN;0.95454544;0.9811321;4;0;NaN;NaN;0.8181818;0.59090906;NaN;0.0;NaN;0.59615386
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_GM.asm;Hemodialysis_GM;5;2;0;3;11;atgt;OK;33.0;2;5;0;5;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;0.6666667;0.6666667;NaN;1.0;NaN;0.8
../../../asm_examples/examples/parkingSimple.asm;parkingSimple;1;2;0;2;4;atgt;OK;18.0;1;4;7;3;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;0.5;1.0;NaN;NaN;NaN;1.0
../../../asm_examples/unibgstudents/Prova.asm;Prova;3;2;0;4;9;atgt;OK;33.0;2;7;7;5;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;1.0;0.75;NaN;1.0;NaN;1.0
../../../asm_examples/examples/simple_example/AdvancedClock.asm;AdvancedClock;2;3;0;2;8;atgt;OK;15774.0;2;3603;0;3668;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;1.0;1.0;NaN;0.0;NaN;1.0
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight2/TrafficLight_2.asm;TrafficLight_2;14;23;0;23;76;atgt;OK;469.0;17;60;76;141;1.0;1.0;NaN;0.9130435;1.0;0;0;NaN;NaN;0.95652175;0.25;NaN;0.0;NaN;1.0
../../../asm_examples/PHD/phd_master_flat2_v6.asm;phd_master_flat2_v6;6;152;0;14;253;atgt;OK;5395.0;104;316;334;522;1.0;0.78289473;NaN;1.0;0.9881423;0;0;625;NaN;1.0;1.0;NaN;0.0121951215;NaN;0.82835823
../../../asm_examples/examples/sensorVotingSimpleVersion.asm;sensorVotingSimpleVersion;2;5;0;4;12;atgt;OK;93.0;5;23;66;37;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;1.0;1.0;NaN;0.0;NaN;1.0
../../../asm_examples/stereoacuity/certifierRaff5ForSMTproof.asm;certifierRaff5ForSMTproof;15;24;0;13;61;atgt;OK;617.0;11;51;81;181;1.0;0.9166667;NaN;0.96153843;0.9836066;0;0;1.0;NaN;1.0;0.8333333;NaN;0.14285715;NaN;0.93442625
../../../asm_examples/examples/traffic_light/oneWayTrafficLightOnlyPassed.asm;oneWayTrafficLightOnlyPassed;5;12;0;5;26;atgt;OK;201.0;10;43;43;119;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;1.0;1.0;NaN;0.2;NaN;1.0
../../../asm_examples/stereoacuity/certifierRaff2.asm;certifierRaff2;14;18;0;10;50;random4ea;OK;21.0;5;17;14;106;0.9285714;0.7222222;NaN;0.75;0.84;0;0;NaN;NaN;1.0;0.75;NaN;0.0;NaN;0.81632656
../../../asm_examples/examples/traffic_light/oneWayTrafficLightUsingEnum.asm;oneWayTrafficLightUsingEnum;5;12;0;8;29;random4ea;OK;3.0;2;5;5;11;1.0;0.25;NaN;0.5625;0.51724136;0;0;NaN;NaN;625;0.5;NaN;0.0;NaN;0.27586207
../../../asm_examples/stereoacuity/certifierRaff3.asm;certifierRaff3;14;20;0;11;53;random4ea;OK;10.0;4;17;13;119;1.0;0.65;NaN;0.77272725;0.8679245;0;0;NaN;NaN;1.0;0.77272725;NaN;0.0;NaN;0.8076923
../../../asm_examples/PHD/phd_master_flat2_v3.asm;phd_master_flat2_v3;66;148;0;69;348;random4ea;OK;104.0;49;105;105;245;1.0;0.11486486;NaN;0.57246375;0.50287354;0;0;NaN;NaN;0.942029;0.942029;NaN;0.0;NaN;0.1724138
../../../asm_examples/PillBox/Level0/pillbox_0.asm;pillbox_0;9;18;0;15;53;random4ea;OK;5.0;5;15;41;53;0.6666667;0.6111111;NaN;0.8;0.7169811;0;0;NaN;NaN;0.93333334;0.68421054;NaN;125;NaN;0.63461536
../../../asm_examples/PHD/phd_master_flat2_v7.asm;phd_master_flat2_v7;7;184;0;18;307;random4ea;OK;37.0;59;174;174;407;0.42857143;0.097826086;NaN;0.22222222;0.17263843;0;0;0.13953489;NaN;0.33333334;0.2;NaN;0.01010101;NaN;0.13538462
../../../asm_examples/stereoacuity/certifier_nochoose.asm;certifier_nochoose;16;24;0;15;66;random4ea;OK;7.0;8;32;25;181;0.5625;0.20833333;NaN;0.43333334;0.42424244;0;0;NaN;NaN;0.6;0.4;NaN;0.0;NaN;0.4
../../../asm_examples/examples/carController.asm;carController;1;5;0;2;7;random4ea;OK;0.0;1;1;1;1;1.0;0.0;NaN;0.25;0.2857143;0;0;0.0;NaN;0.5;0.25;NaN;NaN;NaN;0.0
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight0/TrafficLight_0.asm;TrafficLight_0;7;10;0;7;33;random4ea;OK;1.0;3;6;6;15;0.85714287;0.6;NaN;0.78571427;0.72727275;0;0;NaN;NaN;0.85714287;0.71428573;NaN;0.0;NaN;0.6060606
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight1/TrafficLight_1.asm;TrafficLight_1;11;17;0;15;56;random4ea;OK;1.0;4;11;11;21;0.36363637;0.1764706;NaN;0.3;0.2857143;0;0;NaN;NaN;0.33333334;0.25;NaN;0.0;NaN;0.17857143
../../../asm_examples/examples/landingGearSystem/LGS_GM_withError.asm;LGS_GM_withError;4;15;0;3;22;random4ea;OK;15.0;6;30;30;72;1.0;0.26666668;NaN;0.6666667;0.45454547;0;0;0.23529412;NaN;1.0;0.6666667;NaN;NaN;NaN;0.44444445
../../../asm_examples/examples/hemodialysisDevice/SCP2017/HemodialysisGround.asm;HemodialysisGround;5;2;0;3;11;random4ea;OK;0.0;1;3;0;4;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;0.6666667;0.6666667;NaN;1.0;NaN;0.8
../../../asm_examples/PHD/phd_master_flat2_v0.asm;phd_master_flat2_v0;27;52;0;26;131;random4ea;OK;27.0;24;52;52;107;1.0;0.15384616;NaN;0.63461536;0.5648855;0;0;NaN;NaN;1.0;1.0;NaN;0.0;NaN;0.22900763
../../../asm_examples/examples/simple_example/AdvancedClockDeciSecond.asm;AdvancedClockDeciSecond;2;4;0;3;11;random4ea;OK;0.0;1;10;0;13;0.5;0.5;NaN;0.5;0.54545456;0;0;NaN;NaN;0.33333334;0.33333334;NaN;0.0;NaN;0.45454547
../../../asm_examples/examples/landingGearSystem/LGS_EV_v2.asm;LGS_EV_v2;4;38;0;3;60;random4ea;OK;21.0;7;33;33;142;1.0;0.6052632;NaN;0.8333333;0.6333333;0;0;0.64705884;NaN;1.0;0.8333333;NaN;0.0;NaN;0.6615385
